ue,freq,act_theta,reduction,score
3.892,0.109,0.43,20.700754363387219,9.0783590324165555
2.737,0.11,0.627,8.9593682785807687,9.1398833824833119
1.849,0.182,0.595,6.7349362980043281,9.2039758651802401
1.445,0.187,0.749,-0.41367412231898015,9.1748183798397864
3.284,0.292,0.545,16.112254981326302,9.1298200111081442
2.312,0.267,0.572,10.252102772908486,9.1928857150600809
1.849,0.206,0.595,7.2256980213799551,9.2078047570360475
1.784,0.167,0.62,4.6249906471135063,9.1922371029639525
3.195,0.224,0.445,21.410694577265716,9.1826907209612809
3.892,0.101,0.43,23.309568125918659,9.0987128320160213
2.606,0.206,0.507,13.428368556852021,9.1887488993591457
1.507,0.24,0.434,11.18696519859644,9.2616653524432575
2.422,0.192,0.361,18.58010386288467,9.2474454516421893
2.539,0.24,0.434,18.552134565364128,9.2356184969559418
2.306,0.14,0.687,0.6215724207956157,9.1183030877436586
3.064,0.192,0.578,13.835947105885452,9.1399916013618157
2.312,0.187,0.509,11.42294696979927,9.202020567263018
3.284,0.232,0.559,15.04157426922923,9.1214666280640859
1.548,0.24,0.589,6.0697267707241167,9.2192358826168217
1.507,0.192,0.707,0.1561561556217157,9.1756036795460609
1.282,0.132,0.626,2.9014685156086273,9.209572932550067
1.319,0.232,0.393,10.58907232529026,9.2676263901468623
1.548,0.001,0.507,4.2939328616797496,9.2053812511081432
3.284,0.132,0.256,15.619265797572027,9.1259737407476642
1.425,0.224,0.557,6.4978689040425479,9.2298898004005334
2.878,0.24,0.43,20.312601325789075,9.2126262870226974
2.737,0.112,0.636,3.0879675193170186,9.0940750859546053
3.284,0.257,0.393,25.008979934686451,9.199231695220293
2.306,0.267,0.731,-0.090835907825635331,9.1127449231241648
0.883,0.192,0.43,6.548392801559956,9.2553027046461942
3.284,0.134,0.393,25.114074549413672,9.2000516367423231
3.163,0.28,0.545,15.346463891547018,9.139447097570093
1.548,0.001,0.434,6.4741895276790018,9.2223914754072087
3.164,0.232,0.697,1.0665791321141569,9.027909801895861
1.88,0.151,0.591,7.5112729362877815,9.2077208144192255
0.368,0.147,0.499,2.0102105626946241,9.232781394499332
3.892,0.24,0.326,24.98623375923583,9.1117940710013343
1.394,0.24,0.409,11.226275215376859,9.2685283067022706
0.318,0.206,0.651,0.38061721733488696,9.2207534105206932
1.548,0.084,0.539,7.6421240194220275,9.2315036262750336
2.012,0.146,0.393,15.706878018434267,9.2613875257409877
3.284,0.224,0.536,16.017667702688001,9.1290820471562082
1.507,0.19,0.707,0.059956186428493652,9.1748531334846462
3.598,0.084,0.707,1.2763049012725673,8.9708519090520689
3.284,0.257,0.545,15.862162424456571,9.1278688048331116
3.11,0.273,0.738,-0.051151125307200118,9.0259652612817085
2.329,0.162,0.545,11.630142454172628,9.2020591532977303
2.171,0.224,0.536,10.845501982551838,9.2101574380774363
1.548,0.19,0.43,11.216669404795269,9.2593920027770356
3.686,0.232,0.47,21.44518647566214,9.1153884045660885
3.284,0.232,0.557,15.0607897236127,9.1216165458210945
2.737,0.241,0.509,13.350064866644374,9.1741393189319087
3.284,0.132,0.265,16.811826556664101,9.1352780241922567
1.507,0.084,0.707,0.034780998505013372,9.1746567182643517
1.507,0.192,0.539,7.9427456931493481,9.2363541575166881
1.548,0.001,0.43,6.3420250532025335,9.2213603365554064
1.112,0.28,0.65,1.0673764590562769,9.2034030625901195
3.284,0.224,0.696,1.18385217875759,9.0133495587716954
3.598,0.084,0.43,24.0592634550637,9.148603107449933
1.448,0.181,0.344,10.799178661354972,9.2621267664619484
1.146,0.266,0.705,-0.019393699129011566,9.1933887107076107
1.112,0.179,0.595,3.9548468754082933,9.2259309237383178
3.288,0.111,0.636,3.8545352126910046,9.0336602985046728
2.306,0.14,0.636,4.3778978418442449,9.1476097005607482
2.981,0.144,0.481,15.892241892658561,9.1660693829372502
1.507,0.016,0.43,10.855232663708321,9.2590771962349798
2.306,0.14,0.651,2.8866041770068023,9.1359747219225635
0.118,0.296,0.696,0.23360859711371518,9.2213504585847801
0.907,0.179,0.43,6.7205829413631619,9.2557869212016026
1.88,0.224,0.591,7.1322886023649517,9.2047640026702275
3.284,0.284,0.545,15.995157236062781,9.1289064219225633
3.284,0.179,0.545,16.070867615813555,9.1294971095060085
2.123,0.084,0.749,-0.42662116625000124,9.1263352878237658
3.284,0.102,0.568,11.573758948883906,9.0944109527636847
1.507,0.147,0.707,0.032458991062313203,9.1746386021094786
3.284,0.296,0.557,14.980759082081462,9.1209921518291051
1.112,0.179,0.509,5.6600852304220268,9.2392350852870493
2.737,0.241,0.636,5.4215609389317052,9.1122816338851802
1.548,0.016,0.707,0.072506047127532725,9.1724459467022701
3.284,0.232,0.38,25.473645316489595,9.2028569850734314
0.688,0.24,0.43,5.0737252165449434,9.249924341628839
